measure_key,measure_id,measure_name,source_family,domain,unit,direction,official_or_project_defined,measurement_start_date,measurement_end_date,fiscal_year,suppression_rule,business_interpretation,interpretation_limit
12,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2023-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized 30-day readmission rate and comparison category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
13,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2023-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized 30-day readmission rate and comparison category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
14,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2023-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized 30-day readmission rate and comparison category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
15,READM-30-AMI-HRRP,AMI Excess Readmission Ratio,hrrp,Readmission payment program,Excess readmission ratio,Lower is better,Official published CMS result,2021-07-01,2024-06-30,2026,"N/A, Too Few to Report, or a published HRRP footnote; nonreportable values remain null, never zero.",Published predicted-to-expected readmission ratio; a ratio above one indicates predicted exceeds expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Payment implications require the official HRRP methodology."
16,READM-30-CABG-HRRP,CABG Excess Readmission Ratio,hrrp,Readmission payment program,Excess readmission ratio,Lower is better,Official published CMS result,2021-07-01,2024-06-30,2026,"N/A, Too Few to Report, or a published HRRP footnote; nonreportable values remain null, never zero.",Published predicted-to-expected readmission ratio; a ratio above one indicates predicted exceeds expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Payment implications require the official HRRP methodology."
17,READM-30-COPD-HRRP,COPD Excess Readmission Ratio,hrrp,Readmission payment program,Excess readmission ratio,Lower is better,Official published CMS result,2021-07-01,2024-06-30,2026,"N/A, Too Few to Report, or a published HRRP footnote; nonreportable values remain null, never zero.",Published predicted-to-expected readmission ratio; a ratio above one indicates predicted exceeds expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Payment implications require the official HRRP methodology."
18,READM-30-HF-HRRP,Heart Failure Excess Readmission Ratio,hrrp,Readmission payment program,Excess readmission ratio,Lower is better,Official published CMS result,2021-07-01,2024-06-30,2026,"N/A, Too Few to Report, or a published HRRP footnote; nonreportable values remain null, never zero.",Published predicted-to-expected readmission ratio; a ratio above one indicates predicted exceeds expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Payment implications require the official HRRP methodology."
19,READM-30-HIP-KNEE-HRRP,Hip/Knee Replacement Excess Readmission Ratio,hrrp,Readmission payment program,Excess readmission ratio,Lower is better,Official published CMS result,2021-07-01,2024-06-30,2026,"N/A, Too Few to Report, or a published HRRP footnote; nonreportable values remain null, never zero.",Published predicted-to-expected readmission ratio; a ratio above one indicates predicted exceeds expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Payment implications require the official HRRP methodology."
20,READM-30-PN-HRRP,Pneumonia Excess Readmission Ratio,hrrp,Readmission payment program,Excess readmission ratio,Lower is better,Official published CMS result,2021-07-01,2024-06-30,2026,"N/A, Too Few to Report, or a published HRRP footnote; nonreportable values remain null, never zero.",Published predicted-to-expected readmission ratio; a ratio above one indicates predicted exceeds expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Payment implications require the official HRRP methodology."
21,HVBP_CLINICAL_UNWEIGHTED,Unweighted Normalized Clinical Outcomes Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
22,HVBP_CLINICAL_WEIGHTED,Weighted Normalized Clinical Outcomes Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
23,HVBP_ENGAGEMENT_UNWEIGHTED,Unweighted Person And Community Engagement Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
24,HVBP_ENGAGEMENT_WEIGHTED,Weighted Person And Community Engagement Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
25,HVBP_SAFETY_UNWEIGHTED,Unweighted Normalized Safety Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
26,HVBP_SAFETY_WEIGHTED,Weighted Safety Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
27,HVBP_EFFICIENCY_UNWEIGHTED,Unweighted Normalized Efficiency And Cost Reduction Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
28,HVBP_EFFICIENCY_WEIGHTED,Weighted Efficiency And Cost Reduction Domain Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
29,HVBP_TPS,Total Performance Score,hvbp_tps,Value-based purchasing,Score,Higher is better,Official published CMS result,,,2026,"Not Available in the published TPS field; the source has no Footnote column. Nonreportable values remain null, never zero.",Official FY 2026 HVBP domain or total performance score.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Do not reverse-engineer a payment adjustment from the TPS file alone."
